,Triage,Features,History_days,Weather_avg_h,Model,Parameters,NumTrgSamples,NumTestSamples,TrainAcc,TestAcc,Precision,Recall,F1,TP,TN,FP,FN,ImprOverMajTest,ImprOverMajTrain
0,pulse_Triage,History,3,-1,1Dummy,Majority,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
1,pulse_Triage,History,3,-1,1Dummy,Stratified,2672,296,0.5469818179066801,0.5657043407043407,0.28655937091424544,0.26489185130017745,0.27475540834383005,22.4,156.5,56.0,61.9,-0.15026276276276274,-0.16898849250207937
2,pulse_Triage,History,3,-1,DT,10-None,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
3,pulse_Triage,History,3,-1,DT,10-auto,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
4,pulse_Triage,History,3,-1,DT,10-log2,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
5,pulse_Triage,History,3,-1,DT,20-None,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
6,pulse_Triage,History,3,-1,DT,20-auto,2672,296,0.7539681868012384,0.7375273000273002,0.6988291120289991,0.2472864072270673,0.3640026532602067,20.8,203.6,8.9,63.5,0.0215601965601967,0.03799787639247898
7,pulse_Triage,History,3,-1,DT,20-log2,2672,296,0.7539681868012384,0.7375273000273002,0.6988291120289991,0.2472864072270673,0.3640026532602067,20.8,203.6,8.9,63.5,0.0215601965601967,0.03799787639247898
8,pulse_Triage,History,3,-1,DT,5-None,2672,296,0.7494384125795582,0.739549777049777,0.6948375106225005,0.23612282091522147,0.35067744053696936,19.9,203.8,8.7,64.4,0.02358267358267352,0.033468102170798764
9,pulse_Triage,History,3,-1,DT,5-auto,2672,296,0.746443321705522,0.7395475020475021,0.7234087046830675,0.20721085887566595,0.3210001733513484,17.6,205.9,6.6,66.7,0.02358039858039862,0.030473011296762498
10,pulse_Triage,History,3,-1,DT,5-log2,2672,296,0.746443321705522,0.7395475020475021,0.7234087046830675,0.20721085887566595,0.3210001733513484,17.6,205.9,6.6,66.7,0.02358039858039862,0.030473011296762498
11,pulse_Triage,History,3,-1,DT,50-None,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
12,pulse_Triage,History,3,-1,DT,50-auto,2672,296,0.7539681868012384,0.7375273000273002,0.6988291120289991,0.2472864072270673,0.3640026532602067,20.8,203.6,8.9,63.5,0.0215601965601967,0.03799787639247898
13,pulse_Triage,History,3,-1,DT,50-log2,2672,296,0.7539681868012384,0.7375273000273002,0.6988291120289991,0.2472864072270673,0.3640026532602067,20.8,203.6,8.9,63.5,0.0215601965601967,0.03799787639247898
14,pulse_Triage,History,3,-1,DT,None-None,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
15,pulse_Triage,History,3,-1,DT,None-auto,2672,296,0.7539681868012384,0.7375273000273002,0.6988291120289991,0.2472864072270673,0.3640026532602067,20.8,203.6,8.9,63.5,0.0215601965601967,0.03799787639247898
16,pulse_Triage,History,3,-1,DT,None-log2,2672,296,0.7539681868012384,0.7375273000273002,0.6988291120289991,0.2472864072270673,0.3640026532602067,20.8,203.6,8.9,63.5,0.0215601965601967,0.03799787639247898
17,pulse_Triage,History,3,-1,DT,default,2672,296,0.7539681868012384,0.7371905996905997,0.6966785743945906,0.2472864072270673,0.36371292415691825,20.8,203.5,9.0,63.5,0.021223496223496285,0.03799787639247898
18,pulse_Triage,History,3,-1,GBT,default,2672,296,0.7522460974718477,0.7435924560924561,0.7228160608118663,0.26149279221461785,0.3816796375667763,22.0,204.0,8.5,62.3,0.027625352625352595,0.036275787063088205
19,pulse_Triage,History,3,-1,LR,default,2672,296,0.7313939137823193,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.015423603373559858
20,pulse_Triage,History,3,-1,LR,l1-0.0001,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
21,pulse_Triage,History,3,-1,LR,l1-0.0003,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
22,pulse_Triage,History,3,-1,LR,l1-0.0006,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
23,pulse_Triage,History,3,-1,LR,l1-0.001,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
24,pulse_Triage,History,3,-1,LR,l1-0.003,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
25,pulse_Triage,History,3,-1,LR,l1-0.006,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
26,pulse_Triage,History,3,-1,LR,l1-0.01,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
27,pulse_Triage,History,3,-1,LR,l1-0.03,2672,296,0.7272386432675645,0.72742173992174,0.741919191919192,0.08661996447069513,0.15460211382198488,7.3,210.1,2.4,77.0,0.011454636454636513,0.011268332858805019
28,pulse_Triage,History,3,-1,LR,l1-0.06,2672,296,0.7298965575027407,0.7280928655928656,0.7084156284891578,0.11538563652449005,0.19776758688559698,9.7,208.5,4.0,74.6,0.012125762125762107,0.01392624709398127
29,pulse_Triage,History,3,-1,LR,l1-0.1,2672,296,0.7301585895972936,0.7291029666029665,0.7005391353572468,0.13114481250820492,0.21964714257140344,11.0,207.8,4.7,73.3,0.013135863135863013,0.014188279188534159
30,pulse_Triage,History,3,-1,LR,l1-0.3,2672,296,0.7308699616865109,0.7307853307853308,0.6955186003367119,0.143591315078346,0.2361359064286562,12.1,207.4,5.1,72.2,0.01481822731822735,0.014899651277751391
31,pulse_Triage,History,3,-1,LR,l1-0.6,2672,296,0.7308699616865109,0.7307853307853308,0.6955186003367119,0.143591315078346,0.2361359064286562,12.1,207.4,5.1,72.2,0.01481822731822735,0.014899651277751391
32,pulse_Triage,History,3,-1,LR,l1-1,2672,296,0.7313939137823193,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.015423603373559858
33,pulse_Triage,History,3,-1,LR,l1-10,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
34,pulse_Triage,History,3,-1,LR,l1-100,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
35,pulse_Triage,History,3,-1,LR,l1-1e-05,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
36,pulse_Triage,History,3,-1,LR,l1-1e-06,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
37,pulse_Triage,History,3,-1,LR,l1-3,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
38,pulse_Triage,History,3,-1,LR,l1-30,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
39,pulse_Triage,History,3,-1,LR,l1-300,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
40,pulse_Triage,History,3,-1,LR,l1-3e-05,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
41,pulse_Triage,History,3,-1,LR,l1-3e-06,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
42,pulse_Triage,History,3,-1,LR,l1-6,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
43,pulse_Triage,History,3,-1,LR,l1-60,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
44,pulse_Triage,History,3,-1,LR,l1-600,2672,296,0.7312441571368682,0.7304474929474929,0.6907566955748071,0.143591315078346,0.2359211297963538,12.1,207.3,5.2,72.2,0.014480389480389433,0.01527384672810872
45,pulse_Triage,History,3,-1,LR,l1-6e-05,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
46,pulse_Triage,History,3,-1,LR,l1-6e-06,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
47,pulse_Triage,History,3,-1,LR,l2-0.0001,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
48,pulse_Triage,History,3,-1,LR,l2-0.0003,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
49,pulse_Triage,History,3,-1,LR,l2-0.0006,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
