,Weather,Health,Correlation,Non-NAN values
111,rain_1h,SpO2ReferenceValue,0.03201247475800888,3663
112,snow_3h,pulse_Triage,0.030961850519909573,2968
113,humidity,Q6,-0.03086445424702487,3578
114,rain_3h,PulseReferenceValue,-0.030803254831568264,3663
115,pressure,Q3,-0.03027844494474155,3578
116,rain_3h,question_Triage,0.030245763427515435,3578
117,temp,SO2,-0.030114464288994485,3206
118,clouds_all,pulse_Triage,0.02944682505381495,2968
119,clouds_all,Q1,0.029242436690128923,3578
120,wind_deg,CQ7,-0.0292186933875291,215
121,pressure,manual_Triage,-0.02903625833531968,1714
122,clouds_all,Q7,0.027732697310683452,3578
123,rain_1h,CQ7,-0.026591465759344225,215
124,pressure,CQ4,0.02655789525679538,215
125,humidity,CQ6,0.026406695865171984,215
126,rain_3h,CQ4,0.02551217843086997,215
127,rain_1h,Q3,0.024830226931647173,3578
128,humidity,question_Triage,0.02424300007969062,3578
129,temp,Q5,0.02408620148036835,3578
130,snow_3h,SO2,-0.024067616401915973,3206
131,temp,pulse_Triage,0.023503024165194415,2968
132,humidity,Q5,-0.023489354641338264,3578
133,temp,Q6,-0.022908804611379414,3578
134,rain_1h,Q6,-0.02276876016039582,3578
135,wind_deg,Q7,0.0224986004678621,3578
136,rain_3h,Q2,-0.021602053271513672,3578
137,rain_3h,Pulse,-0.02129237022924168,3402
138,wind_deg,Q5,0.021254370609358565,3578
139,wind_deg,SO2,0.0210336769153096,3206
140,clouds_all,Q5,-0.02081524561654574,3578
141,rain_1h,pulse_Triage,0.020544487411527968,2968
142,temp,Q1,-0.019954151383000635,3578
143,rain_3h,SO2,-0.019848973463305726,3206
144,humidity,Q1,-0.019714292883062326,3578
145,humidity,Q3,-0.019642439566991025,3578
146,rain_1h,Q7,-0.019591786095688846,3578
147,wind_deg,CQ1,-0.019573818307366368,215
148,temp,spo2_Triage,0.019408328358316677,2969
149,snow_3h,Q1,-0.018113788538914124,3578
150,rain_3h,Q4,0.017633053224527278,3578
151,rain_1h,PulseReferenceValue,-0.017483991101403296,3663
152,wind_speed,spo2_Triage,-0.01728614522914657,2969
153,humidity,SpO2ReferenceValue,0.017206256816583516,3663
154,wind_speed,SO2,0.016069077768268856,3206
155,rain_3h,spo2_Triage,0.01431109707477363,2969
156,rain_1h,Q4,-0.013718403278452198,3578
157,rain_3h,Q5,-0.01340938054079472,3578
158,wind_deg,Q3,-0.012881867765897762,3578
159,snow_3h,Q2,-0.01209682600088185,3578
160,pressure,CQ2,-0.012048798663972859,215
161,temp,CQ3,0.011741075068960731,215
162,rain_3h,Q3,0.011711757935044387,3578
163,clouds_all,spo2_Triage,0.011667493596681571,2969
164,wind_speed,manual_Triage,-0.011649069466025647,1714
